κ (kappa) statistics with Fleiss-Cohen weights;Kappa statistics
Repeated-measures analysis;Repeated-measures analysis
Bootstrapped (Cluster Resampling with Replacement) 95% CIs;Bootstrapped CIs
Score method;Score method
Linear multivariable regression model;Linear regression
Sample size determination for power (90% power, 72% power);Sample size determination
Kaplan-Meier curves;Kaplan-Meier curves
Weighted binomial regression;Weighted regression
Rubin’s rules;Rubin’s rules
Bonferroni adjustment;Bonferroni adjustment
Repeated-measures mixed linear model;Mixed linear model
Least squares regression;Least squares regression
Wilcoxon rank-sum test;Wilcoxon test
Kaplan-Meier product limit estimator;Kaplan-Meier estimator
Adjustment for confounders (region of residence, place of birth, calendar time);Adjustment for confounders
Intention-to-treat analysis;Intention-to-treat analysis
Intention-to-treat principle for statistical analysis;Intention-to-treat principle
Two-sided test;Two-sided test
Log-binomial regression;Log-binomial regression
Type I error rate consideration;Type I error consideration
Stratified analyses;Stratified analyses
Random effects (random intercept);Random effects
Sub-distribution hazard ratio;Sub-distribution hazard ratio
χ² test for trend;Chi-squared test for trend
Intraclass Correlation Coefficient;Intraclass Correlation Coefficient
95% Confidence Intervals (CIs);Confidence Intervals
Clopper-Pearson method;Clopper-Pearson method
Trial sequential analysis;Trial sequential analysis
Multiple linear regression;Multiple linear regression
Cause-specific hazard model;Cause-specific hazard model
Predictive mean matching;Predictive mean matching
Dichotomous outcome analysis;Dichotomous outcome analysis
Categorical variables as absolute and relative frequencies;Categorical variables analysis
Propensity score weighting;Propensity score weighting
Random effects model (DerSimonian and Laird);Random effects model
Adjustment for stratification variables;Adjustment for stratification
Log relative risk (RR) estimation;Log relative risk estimation
Bayesian random effects meta-analysis;Bayesian meta-analysis
Multivariate Normal Distribution;Multivariate Normal Distribution
P value significance testing;P value testing
Adjusted Cox proportional-hazards models;Adjusted Cox model
Complete-case analysis;Complete-case analysis
Sample-size calculation;Sample-size calculation
Student’s t-test;Student’s t-test
Log(–log) plots;Log-log plots
Relative risks;Relative risks
Hierarchical testing procedure;Hierarchical testing
Modified per-protocol analysis;Per-protocol analysis
Statistical significance testing (P value);Statistical significance testing
Common odds ratio;Common odds ratio
Autoregressive(1) covariance structure;Autoregressive model
Multiple imputation;Multiple imputation
Markov chain Monte Carlo sampling;MCMC sampling
Analysis of variance with primary care physicians;ANOVA
McNemar’s test;McNemar’s test
Median;Median
Time-varying covariate;Time-varying covariate
Non-inferiority analysis;Non-inferiority analysis
Maximum likelihood estimation;Maximum likelihood estimation
Overlap weights;Overlap weights
Descriptive analyses;Descriptive analyses
Power Calculations;Power calculations
Recurrent event analysis;Recurrent event analysis
Two-sample t-test;Two-sample t-test
Power calculations;Power calculations
Continuous variable analysis (income-to-poverty ratio);Continuous variable analysis
Sensitivity analyses;Sensitivity analyses
Centile based 95% credible intervals;Centile based credible intervals
Random effects;Random effects
Gelman-Rubin diagnostic;Gelman-Rubin diagnostic
Elixhauser comorbidity adjustment;Elixhauser adjustment
Kaplan-Meier plots;Kaplan-Meier plots
Negative predictive value;Negative predictive value
P value correction (for interim analyses);P value correction
Profile Likelihood Method;Profile Likelihood Method
Standardization of results;Standardization
Interaction terms in regression;Interaction terms
Generalized-estimating-equations model;Generalized estimating equations
Log-transformed Cmax and AUC (Area Under the Curve) for dose-normalized geometric means;Log-transformed dose-normalization
Two-sided tests;Two-sided tests
Point estimates with 95% confidence intervals;Point estimates with CIs
Proportional-odds logistic-regression model for ordered categorical data;Proportional-odds logistic regression
Ageand sex-adjusted rates calculation;Adjusted rates calculation
CKD-EPI 2009 equation;CKD-EPI equation
Multiple imputation methods;Multiple imputation
Modified continual reassessment methods;Continual reassessment method
Two-sided P value;Two-sided P value
Adjusted mean (SE) presentation;Adjusted mean presentation
Heterogeneity Tests;Heterogeneity tests
Sociodemographic characteristic adjustment;Sociodemographic adjustment
Incidence rate ratio;Incidence rate ratio
Hazard ratio;Hazard ratio
Between-participant main effects;Between-participant effects
Cox-Stuart trend test;Cox-Stuart test
Random effect adjustment;Random effect adjustment
Firth logistic regression;Firth regression
Covariance matrix;Covariance matrix
Primary composite outcome;Composite outcome
Frequentist approach;Frequentist approach
Validly randomly assigned population analysis ; Randomly assigned population analysis
Independent correlation structure ; Correlation structure
Reporting of two-sided 96.6% confidence intervals ; Confidence intervals
Censored data ; Censored data
Descriptive statistics ; Descriptive statistics
Covariate inclusion ; Covariate inclusion
Power analysis ; Power analysis
Laplace approximation ; Laplace approximation
