1;Two-sided p values
1;κ (kappa) statistics with Fleiss-Cohen weights
0;ClinicalTrialsgov registration (NCT03541174)
1;Repeated-measures analysis
1;Bootstrapped (Cluster Resampling with Replacement) 95% CIs
1;Score method
1;Linear multivariable regression model
1;Sample size determination for power (90% power, 72% power)
1;Kaplan-Meier curves
1;Weighted binomial regression
1;Rubin’s rules
1;Bonferroni adjustment
1;Repeated-measures mixed linear model
1;Least squares regression
0;SAS software, version 9.4
1;Wilcoxon rank-sum test
1;Kaplan-Meier product limit estimator
1;Adjustment for confounders (region of residence, place of birth, calendar time)
0;Medical Dictionary for Regulatory Activities
1;Intention-to-treat analysis
0;Mean (SD) presentation
1;Intention-to-treat principle for statistical analysis
1;Two-sided test
1;Log-binomial regression
1;Type I error rate consideration
1;Stratified analyses
1;Random effects (random intercept)
1;Sub-distribution hazard ratio
0;R software
1;χ² test for trend
0;Use of R software for statistical computing
1;Intraclass Correlation Coefficient
0;Publication rate calculation
1;95% Confidence Intervals (CIs)
0;Co-morbidity assessment
0;Hazard rate reduction
1;Clopper-Pearson method
0;Bivalirudin
1;Trial sequential analysis
1;Multiple linear regression
1;Cause-specific hazard model
1;Predictive mean matching
1;Dichotomous outcome analysis
1;Categorical variables as absolute and relative frequencies
1;Propensity score weighting
1;Random effects model (DerSimonian and Laird)
1;Adjustment for stratification variables
1;Log relative risk (RR) estimation
1;Bayesian random effects meta-analysis
1;Multivariate Normal Distribution
0;Best-case and Worst-case Scenarios
1;P value significance testing
1;Adjusted Cox proportional-hazards models
1;Complete-case analysis
0;Trial sequential analysis software
0;Premature discontinuation
1;Sample-size calculation
0;Use of R (version 3 6 2)
1;Student’s t-test
0;R statistical computing system (used for analyses)
0;Contrast statements
1;Log(–log) plots
0;Re-analysis of eGFR data
1;Relative risks
1;Hierarchical testing procedure
1;Modified per-protocol analysis
1;Statistical significance testing (P value)
0;Graphical illustration (adjusted and weighted prevalence)
1;Common odds ratio
1;Autoregressive(1) covariance structure
0;Safety population (participants who received at least one dose of the study drug)
1;Multiple imputation
0;Data collection
0;SAS software (version 9.4) for statistical analysis
1;Markov chain Monte Carlo sampling
1;Analysis of variance with primary care physicians
0;Standardisation across trials
1;McNemar’s test
