,Two-sided p values
0,κ (kappa) statistics with Fleiss-Cohen weights
2,Repeated-measures analysis
3,Bootstrapped (Cluster Resampling with Replacement) 95% CIs
4,Score method
5,Linear multivariable regression model
6,"Sample size determination for power (90% power, 72% power)"
7,Kaplan-Meier curves
8,Weighted binomial regression
9,Rubin’s rules
10,Bonferroni adjustment
11,Repeated-measures mixed linear model
12,Least squares regression
14,Wilcoxon rank-sum test
15,Kaplan-Meier product limit estimator
16,"Adjustment for confounders (region of residence, place of birth, calendar time)"
18,Intention-to-treat analysis
20,Intention-to-treat principle for statistical analysis
21,Two-sided test
22,Log-binomial regression
23,Type I error rate consideration
24,Stratified analyses
25,Random effects (random intercept)
26,Sub-distribution hazard ratio
28,χ² test for trend
30,Intraclass Correlation Coefficient
32,95% Confidence Intervals (CIs)
35,Clopper-Pearson method
37,Trial sequential analysis
38,Multiple linear regression
39,Cause-specific hazard model
40,Predictive mean matching
41,Dichotomous outcome analysis
42,Categorical variables as absolute and relative frequencies
43,Propensity score weighting
44,Random effects model (DerSimonian and Laird)
45,Adjustment for stratification variables
46,Log relative risk (RR) estimation
47,Bayesian random effects meta-analysis
48,Multivariate Normal Distribution
50,P value significance testing
51,Adjusted Cox proportional-hazards models
52,Complete-case analysis
55,Sample-size calculation
57,Student’s t-test
60,Log(–log) plots
62,Relative risks
63,Hierarchical testing procedure
64,Modified per-protocol analysis
65,Statistical significance testing (P value)
67,Common odds ratio
68,Autoregressive(1) covariance structure
70,Multiple imputation
73,Markov chain Monte Carlo sampling
74,Analysis of variance with primary care physicians
76,McNemar’s test
78,Median
79,Time-varying covariate
80,Non-inferiority analysis
81,Maximum likelihood estimation
82,Overlap weights
83,Descriptive analyses
84,Power Calculations
85,Recurrent event analysis
86,Two-sample t-test
87,Power calculations
89,Continuous variable analysis (income-to-poverty ratio)
91,Sensitivity analyses
92,Centile based 95% credible intervals
95,Random effects
97,Gelman-Rubin diagnostic
98,Elixhauser comorbidity adjustment
99,Kaplan-Meier plots
100,Negative predictive value
102,P value correction (for interim analyses)
104,Profile Likelihood Method
105,Standardization of results
106,Interaction terms in regression
107,Generalized-estimating-equations model
108,Log-transformed Cmax and AUC (Area Under the Curve) for dose-normalized geometric means
110,Two-sided tests
112,Point estimates with 95% confidence intervals
115,Proportional-odds logistic-regression model for ordered categorical data
116,Ageand sex-adjusted rates calculation
117,CKD-EPI 2009 equation
119,Multiple imputation methods
123,Modified continual reassessment methods
124,Two-sided P value
125,Adjusted mean (SE) presentation
126,Heterogeneity Tests
127,Sociodemographic characteristic adjustment
128,Incidence rate ratio
129,Hazard ratio
130,Between-participant main effects
131,Cox-Stuart trend test
132,Random effect adjustment
133,Firth logistic regression
134,Covariance matrix
135,Primary composite outcome
136,Frequentist approach
137,Validly randomly assigned population analysis
138,Independent correlation structure
139,Reporting of two-sided 96.6% confidence intervals
140,Censored data
141,Descriptive statistics
142,Covariate inclusion
145,Power analysis
146,Laplace approximation
147,Interaction term testing for non-proportionality of hazards
148,Exploratory analyses
149,Cochran–Mantel–Haenszel test
150,Positive predictive value
152,Logistic regression
153,Forest plot construction
157,Mean and standard deviation
158,Poisson regression model with robust standard errors
159,van Elteren’s test
160,"Further adjustment for body mass index, muscle strength, and cardiorespiratory exercise capacity"
161,Distribution description
162,P-value determination for statistical significance
163,Prespecified subgroup analysis
164,Design effect accounting for cluster randomized controlled trials
165,Mantel-Haenszel weights
166,Multiplicity adjustment
167,Pharmacokinetic dose proportionality analysis
168,Proportional contribution estimation
169,Bayesian information criterion
170,Inverse-variance-weighted averages
171,Multivariable quantile regression
172,Unstructured covariance matrix
173,Point estimates
174,Missing-at-random assumption
175,Inverse probability of attrition weight (IPAW)
176,Substitution rules
177,Mean or mode imputation
178,Adjusted risk ratio [RR]
182,Kaplan-Meier curve
183,Proc MIANALYZE in SAS
184,Log-rank test (stratified and unweighted)
186,Interaction Parameters
188,Proportion assessment
189,95% confidence intervals
190,Two-sided significance level
191,Constrained longitudinal data analysis (cLDA)
192,"Fixed effects (race and ethnicity, sex, state of residence, year)"
193,Two-group continuity corrected chi-square test
194,Missing values
195,Unstructured Covariance Structure
196,Design Effect
197,Effect size
198,Meta-regression
200,Tests of between-study heterogeneity
203,Cox proportional hazards models
204,Mixed-model analytic approach
206,Normal distributional assumption
207,ANCOVA (Analysis of Covariance)
208,Weighting by inverse standard deviation
209,Type I error consideration
210,Two-group t-test with a two-sided significance level
211,Generalized linear model for binomial outcome with identity function
212,Type I error (alpha)
213,Bootstrap confidence intervals
214,t test
215,Correlation structures
216,Prespecified tests for superiority
217,Clustering within participants
218,Risk Ratio (Relative Effect Measure)
219,Fine and Gray model for time-to-event data
221,Linear mixed model with random coefficients
222,Percentage of maximum possible method
223,Linear regression models
224,T tests
225,Repeated-measures mixed-effects linear regression model
227,Harmonic mean of person-time years
228,High-dimensional propensity-score algorithm
230,Clustering of standard errors
232,t-tests
233,Stratified analysis (by Journal Citation Reports quartile)
234,Confidence interval calculation
235,Generalized linear model for binomial outcome with log-link function
236,2-sample test of proportions
237,Normal-normal hierarchical models
238,Imputation of missing data
239,Sample size estimation
240,Cluster Size Sample Size Scenarios
241,Half-SD formula
242,Cumulative incidence functions
244,Imputation for missing data
246,E-value assessment
247,Poisson regression
248,Flexible parametric survival model
249,I² statistic for heterogeneity assessment
250,Efficacy analyses
251,χ² test (Chi-squared test)
252,Relative risk comparison
253,Bayesian logistic-regression model
254,Non-informative priors for mean effects
255,Hazard ratio calculation
256,Restricted cubic splines
257,Sample size calculation
258,Adjustment for sampling survey weights
259,Alpha-spending criteria
260,Multilevel Linear Mixed Model
261,Kaplan–Meier plots
262,Sample size determination
263,Binary logistic regression
264,Confidence intervals (95% confidence interval)
265,Ordinal logistic-regression model
267,Cox-proportional hazards model
268,Hierarchical Condition Category risk scoring
269,Within-group standard deviation (SD)
270,Estimation of SpO2:FiO2 ratios from PaO2:FiO2 ratios
271,Generalized estimating equations
272,Compound symmetry covariance structure
273,Weighting for national representation and nonresponse bias
274,Funnel plots
275,Cox regression model (stratified)
276,Subgroup-by-trial-group interactions
277,Ranking based on median scores
278,Modified generalized estimating equation analyses
279,Summation of scores across tests
280,Proportional hazards assumption
281,Joinpoint regression
283,Post hoc analyses
285,"Descriptive statistics (counts and percentages, medians and IQRs)"
286,Mixed-model repeated-measure analyses
287,Covariate inclusion in analyses
288,Akaike information criterion
289,Linear Regression
290,Conditional Logistic Regression
292,Pattern-mixture models
293,Intraclass correlation coefficient
296,Natural logarithmic link function
297,Schoenfeld residual plots
298,descriptive statistics were reported. Aggregate and
299,Multivariable generalized estimating equations
300,Bayesian analyses
301,Analysis of covariance (ANCOVA)
304,2-sided α (alpha) level
305,Fisher exact test
306,Comparative analyses
307,Standardized mean differences
309,2 × 2 factorial design analysis
310,Bivariate binomial random effects meta-analysis
